Nombre,Partido,Pagina_publica
Cristian Rodolfo Alvarez y Alvarez,Creo,https://www.facebook.com/CristianAlvarezGT?locale=es_LA
Alvaro Enrique Arzú Escobar,Unionista,https://www.facebook.com/alvaroarzue/
Román Wilfredo Castellanos Caal,Dpto. Independiente,https://www.facebook.com/roman.castellanos?locale=es_LA
Sergio Guillermo Enriquez Garzaro,Une,https://www.facebook.com/sergio.enriquezgarzaro?mibextid=lqqj4d
Sofía Jeanetth Hernández Herrera,Vamos,https://www.facebook.com/SofiaHernandez/
Marleni Lineth Matías Santiago,Une,https://www.facebook.com/DiputadaMarleniMatias/?ref=br_rs
Brenda Marleny Mejía López,Dpta. Independiente,https://www.facebook.com/DipuSemillaBrendaMejia?locale=es_LA
Samuel Andrés Pérez Alvarez,Dpto. Independiente,https://www.facebook.com/samuel.pz
Shirley Joanna Rivera Zaldaña,Vamos,https://www.facebook.com/ShirleyRiveraGt?locale=es_LA
Lucrecia Carola Samayoa Reyes,Bien,https://www.facebook.com/lucrecia.samayoa.3/
Luis Enrique Ventura Urbina,Dpto. Independiente,https://www.facebook.com/levu.quique?locale=es_LA
Andrea Beatríz Villagrán Antón de Pantoja,Dpta. Independiente,https://www.facebook.com/Avillagran502/
Olga Isabel Villalta Pereira,Dpta. Independiente,https://www.facebook.com/olga.villalta.550537?locale=es_LA
Marvin Adrián Zepeda Zepeda,Todos,